VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD_CSI,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,TRANSACTION_CNTR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE
3HCFDDE89SH220903,13041.25,Replaced Steering Wheel,Customer States Heated Steering Wheel Inop,02-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Ccf,SIL,MX,Silverline Motors,St Johns,13 13992/309484,Apex Auto Sales,St Johns,MI,1,488799101,6,8872,0,0 0310,T03.0351,US,13,FE9,FTB,130,Freg_Pol,370.03,370.03,61.46,LZ0,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5",MQC,"Byt 10 Spd, 10L80, Atss, Cpa, Gen 2",,V2210291Mftx0188,287827,S2210121Cnjx0941,2820879995,6,1,N,Cf18543,,21,0,1
1HRFFEE8XSZ230636,13028,Technician Found The Steering Column Plastic Trim Was Not Aligned Properly Adjusted Trim And Found The Customer Concern Is Nolonger Present,Heated Steering Wheel Inop,03-01-2024,Applique Asm-Strg Whl Tr Spoke Cvr *Vulcan,Steering Wheel Replacement,Full Size Trucks,Extended Cab,T1Cgf,FTW,US,Velocity Auto Group,Fishers,13 14819/243038,Silverpeak Motors,Grand Rapids,MN,1,557444215,5,16346,0,0 0310,T03.0351,US,48,FE9,FTB,2400,Freg_Pol,307.32,307.32,291.14,LZ0,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5",MQC,"Byt 10 Spd, 10L80, Atss, Cpa, Gen 2",,V2210281Mftx0488,17749294,R2210881Cnjx0287,2820879995,6,1,Y,Tf18543,,10,0,1
1HYKSMRK6SZ000990,13035,"Accessed, Removed And Replaced The Drivers Assistance Systems Module. Accessed The Diagnosticportandreprogrammedthesystemcalibration Using The Mdi-2 With A Warranty Claim Programming Code Of Fdyz197418154. Road Testedthevehicletoverifyrepairs. Thesystem Is Now Operating As Designed.",Customer States Heated Steering Wheel Inop,04-01-2024,Applique Asm-Strg Whl Tr Spoke Cvr *Jet Black,Heated Steering Wheel Module Replacement,Bev,4 Door Utility,L233,SHT,US,Crossroads Dealership,San Diego,11 46466/119152,Quantum Car Traders,San Diego,CA,1,921083521,9,8887,0,0 0310,T00.0008,US,12,YF5,FF6,130,Freg_Pol,554.0625,604.695,108.055,EN0,None,MF1,None,,V2210291Mftx0188,167638281.4,21210129Ikbp0429,2809979441,4,1,Y,6Mb26,Lux 1,10,0,1
3HCFDFEL3SH241701,13041.25,"Diagnosis Of Open Circuit Inside Wheel. Replace Steering Wheel ( 0130 .3+ .4= .7 Hrs ),Steering Wheel Replacement Gm Preauth# 498654000000",Customer States Heated Steering Wheel Inop,04-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Ccf,SIL,MX,Royal Wheels Auto Sales,Milwaukee,13 47099/113361,Summit Drive Auto,Slinger,WI,1,530869027,10,15500,0,0 0890,T06.2375,US,13,FE9,FTB,130,Freg_Pol,445.28,445.28,63.18,L87,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,N2212081Mfyx0422,287827,S1210822Ckjx0291,2820879995,6,1,Y,Cf18543,,10,0,1
1HRFFHEL1RZ181474,13041.25,"Accessed, Removed And Replaced The Drivers Assistance Systems Module. Accessed The Diagnosticportandreprogrammedthesystemcalibration Using The Mdi-2 With A Warranty Claim Programming Code Of Fdyz197418154. Road Testedthevehicletoverifyrepairs. Thesystem Is Now Operating As Designed.",Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool.,05-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Cgf,FTW,US,Greenfield Auto Sales,Kellogg,11 47556/116725,Horizon Motors,Liberty Lake,WA,1,990197623,21,35493.25,0,0 0621,T06.2375,US,48,NE1,FUC,130,Freg_Pol,1439.65,1439.65,136,L87,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,N2212994Mgpx0790,17749294,R2212922Ckjx0928,2820879995,8,1,N,Tf18543,,10,0,1
3HRFFHED7RH167541,13026,Remove And Replace Steering Wheel,Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool.,05-01-2024,Wheel Asm-Strg *Fawn,Steering Wheel Replacement,Full Size Trucks,Extended Cab,T1Cgf,SIL,MX,Prestige Drive Motors,Omaha,13 05637/165732,Prestige Wheels,Columbus,NE,1,686012808,21,35493.25,0,0 0890,T05.3330,US,48,FE9,FTB,130,Freg_Pol,216.75,216.75,139.84,L84,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,A2212084Mgsx0089,287827,S2212992Ckjx2842,2809498122,6,1,N,Tf18543,,16,0,1
1HRFFHEL4RZ149960,13071,Replaced Steering Message No Longer Displayed,C/S: Customer States The Service Driver Assist System Message Is On. A Dvise,05-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Cgf,FTW,US,Apex Vehicle Sales,Smithtown,13 02278/273131,Sterling Auto Traders,Bay Shore,NY,1,117061211,2,35493.25,0,0 0621,T06.2375,US,48,NE1,FUC,130,Freg_Pol,1488.94,1488.94,150.03,L87,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,N2212914Mgpx0299,17749294,R2212982Ckjx0282,2809208122,24,1,Y,Tf18543,,10,0,1
3HCFDFED4SH352945,13041.25,Replaced Steering Wheel.,Customer States Heated Steering Wheel Inop,05-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Ccf,SIL,MX,Prestige Drive Motors,Saint Louis,13 13858/113450,Luxeline Auto,Saint Cloud,OH,1,439508512,3,4065,0,0 0310,Lgmxt05.3386,US,13,NE1,FUC,130,Freg_Pol,427.08,427.08,57.61,L84,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,A2212881Mf1X2422,287827,S1212982Ckjx2188,2820879995,4,1,N,Cf18543,,15,0,1
1HRF9CED6NZ221061,13041.25,"Checked - Found Dtc'S U0229 - U1530 Set In Bcm. Found Pip5883J, Verifi Ed Rpo Options. Tested Per Si - Was Inconclusive.Testedperwiring Sc Hematic - All Circuits Tested Ok. Looks Like Faulty Heated S-W Module. Ordered New Module 9-26-23.1-2, Replacedheated S-W Module.",Customer States Heated Steering Wheel Inop,08-01-2024,Wheel Asm-Strg *Black,Steering Wheel Replacement,Full Size Trucks,Extended Cab,T1Cgf,FTW,US,Summit Auto Traders,Madison,13 28387/166196,Legacy Car Sales,Madison,OH,1,440572570,21,31611,0,0 0313,Lgmxt05.3386,US,48,FE9,FTB,50,Freg_Pol,554.0625,604.695,108.055,L84,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MQB,"Byt 10 Spd, 10R80, Atss, Etrs, Cpa, Gen 2",,T1220882Jw9X2294,17749294,R2220422Xkjx0272,2820879995,2,1,N,Cf18543,,16,0,1
1HRFFHEL8RZ133325,13074,"Diagnosis Of Open Circuit Inside Wheel. Replace Steering Wheel ( 0130 .3+ .4= .7 Hrs ),Steering Wheel Replacement Gm Preauth# 498654000000",Horn And Steering Wheel Switches Are Inoperable,09-01-2024,Applique Asm-Strg Whl Tr Spoke Cvr *Vulcan,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Cgf,FTW,US,Truevalue Motors,Belleville,11 40119/299131,Primeedge Motors,Belleville,IL,1,622263101,4,8304,0,0 0621,T06.2375,US,48,FE9,FTB,130,Freg_Pol,1147.09,1147.09,146.06,L87,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,N2212294Mgpx0128,17749294,R2212112Ckjx2084,2821988724,4,1,Y,Tf18543,,10,1,1
1HCFDHE86SZ274242,13041.25,Replaced Steering Message No Longer Displayed,Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool.,09-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Ccf,FTW,US,Bluesky Autos,Palmyra,13 15377/118088,Platinum Wheels,Palmyra,PA,1,170781909,8,6204,0,0 0890,T03.0351,US,13,NE1,FUB,130,Freg_Pol,476.16,476.16,63.99,LZ0,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5",MQC,"Byt 10 Spd, 10L80, Atss, Cpa, Gen 2",,V2212221Mftx0298,17749294,R2222781Cnjx0092,2809222210,6,1,N,Cf18543,,10,0,1
1HYKNDRS3MZ177921,13027,Replaced Steering Wheel,Customer States Heated Steering Wheel Inop,10-01-2024,Applique Asm-Strg Whl Tr Spoke Cvr *Vulcan,Heated Steering Wheel Module Replacement,Crossover Suv,4 Door Utility,C1Ul,SHT,US,Quantum Auto Sales,Dayton,12 20769/119037,Crestline Auto Co.,Cincinnati,OH,1,452426498,35,70354,0,0 0310,Lgmxt03.6151,US,12,FE9,FTB,130,Freg_Pol,322.13,322.13,53.46,LGX,"Gas, 6 Cyl, 3.6L, V6, Di, Dohc, Vvt, Alum, Gen 2",M3W,"Byt 10 Spd, Rwd 4.54 1St, 2.86 2Nd, 2.06 3Rd, 1.7 1 4Th, 1.48 5Th, 1.26 6Th, 1.00 7Th, 10L",,W2220292Jdpx0477,822972980,21220220Kkbp0881,2809492824,4,1,Y,6Nh26,Luxury,37,0,1
1HYKSMRK4SZ001121,13025,Replaced Steering Wheel,Customer States Heated Steering Wheel Inop,10-01-2024,Applique Asm-Strg Whl Tr Spoke Cvr *Jet Black,Heated Steering Wheel Module Replacement,Bev,4 Door Utility,L233,SHT,US,Elite Auto Group,Las Vegas,13 20095/114568,Luxecar Dealership,Ontario,CA,1,917644452,6,12628,0,0 0312,T00.0008,US,12,YF5,FF6,130,Freg_Pol,1414.83,1414.83,95.5,EN0,None,MF1,None,,V2210291Mftx0188,167638281.4,21210129Ikbp0429,2809291177,6,1,N,6Mb26,Lux 1,10,0,1
1H6DS5RK6S0127345,13025,Replaced Steering Wheel,"Customer States Heated Steering Wheel Is Not Working, Inspect And Advise.",10-01-2024,Wheel Asm-Strg * Jet Black,Heated Steering Wheel Module Replacement,Luxury Car-2,4 Door Sedan,A2Ll,LGR,US,Redwood Motor Co.,Jonesboro,13 17211/111427,Citystar Motors,Poplar Bluff,MO,1,639015525,12,19743,0,0 0310,Lgmxv02.0041,US,12,FE9,FTB,130,Freg_Pol,562.5,562.5,85.86,LSY,"Gas, 8 Cyl, 6.6L, Sidi, Vvt, Cast Iron",MQ2,"Byt 9 Spd, 9T65, Gen 1",,N1221292Ju7X2198,287827,S1221112Qrjx2178,2809244294,20,1,Y,6Dc79,Premium Luxury,10,0,1
1HC4YSEY3RF110164,13041.25,"Checked - Found Dtc'S U0229 - U1530 Set In Bcm. Found Pip5883J, Verifi Ed Rpo Options. Tested Per Si - Was Inconclusive.Testedperwiring Sc Hematic - All Circuits Tested Ok. Looks Like Faulty Heated S-W Module. Ordered New Module 9-26-23.1-2, Replacedheated S-W Module.",Customer States Heated Steering Wheel Inop,10-01-2024,Module Asm-Strg Whl Ht Cont,Steering Wheel Replacement,Full Size Trucks,Extended Cab,T1Cch,FLT,US,Titan Auto Traders,Cortland,13 28690/113578,Novacar Sales,Cortland,OH,1,444101448,9,17675,0,0 0316,D06.6398,US,13,NE1,FUM,50,Freg_Pol,554.0625,604.695,61.27,L5P,"Gas, 8 Cyl, 6.6L, Sidi, Vvt, Cast Iron",MGM,"Byt 9 Spd, 9T65, Gen 1",,R2210714Jfhx0992,8042172,Y0210111Mkfx0928,2809282189,2,1,N,Cf30743,,16,0,1
1HKS1JKL0SR282668,13041.25,"Approved 4.9(Olh) For Added Diagnostics With Tcsc To Figure Out And Co Mplete Programming While Replacing The Steering Wheelassembly. Rob W. 1-2-24 3-31Pm Olh For Open Tac Case, Contact Tcsc Case # 9-1156925877 4 Multiple Times And Completed Drive Motorsoftware Update Programming . Performed System Check As Per Customers Concern, Steering Wheel Comi Ng Apart. Contacted Tac Case#9-11503916151 "" Please Be Aware If A Dea Ler Receives A Replacement Super Cruise Steering Wheel Part Number 850 13816. Onceinstalled They Will Need To Contact Tcsc And Request This Below. Applies To 2023 And 2024. Order And Replaced Steering Wheel, Contacted Tcsc Many Times And Also Get Assistance From Fse Bill M. To Co Mpleted Programming. Per Tcsc Programmed Drive Motor Controlmodule 1 Wcc-Fdyz196959052 Prog, Set Up Wcc-0Syy196956992. After Programming Co Mpleted Performed A Drive Cycle And Check Steeringwheel Operation, Op Erating Normally At This Time. Mileage In 5522, Mileage Out 5532. Char Ge Vehicle Soon!!!",Customer States Heated Steering Wheel Inop,11-01-2024,Wheel Asm-Strg *Fawn,Steering Wheel Replacement,Full Size Utility,4 Door Utility,T1Ygf,ARL,US,Urbancar Dealership,Rio Grande City,13 30014/114870,Sterling Auto Traders,Rio Grande City,TX,1,785824821,10,21295,0,0 0310,T06.2375,US,48,FE9,FTB,130,Freg_Pol,275.55,275.55,202.67,L87,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,K2210291Mfyx0999,287827,S2221212Ckjx0718,2809298492,2,1,N,Cf10906,,10,0,1
1HC4Y9EY2MF192148,13026,"Diagnosis Of Open Circuit Inside Wheel. Replace Steering Wheel ( 0130 .3+ .4= .7 Hrs ),Steering Wheel Replacement Gm Preauth# 498654000000",Unknown,11-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Cch,FLT,US,Regal Ride Motors,Lod,72 73421/159921,Goldenroad Motors,Kiryat Gat,CA,4,907551909,33,35493.25,0,0 0890,D06.6398,IL,72,FE9,FTB,130,Freg,221.83,221.83,108.055,L5P,"Gas, 8 Cyl, 6.6L, Sidi, Vvt, Cast Iron",MGM,"Byt 9 Spd, 9T65, Gen 1",,R2220282Jrhx0409,8042172,Y0220280Mkfx0292,2809489112,2,1,N,Cf30743,,18,0,4
1H1FZ6S00N4109597,13025,Replace Steering Wheel,Steering Wheel Coming Apart,11-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Global Crossover Vehicles,4 Door Sedan,C121,ORI,US,Capital Car Dealers,Davison,13 44014/115093,Sterling Auto Traders,Clarkston,MI,1,48348,17,42079,0,0 0890,V00.0002,US,13,FE9,FT7,130,Freg_Pol,411.47,457.47,62.02,EN0,None,MMF,"Byt 9 Spd, 9T60, Etrs Gen 1",,V2210291Mftx0188,167638281.4,21210129Ikbp0429,2820879995,4,1,N,1Fg48,Premier,21,0,1
1HNEVKKW6SJ216435,13025,"Checked - Found Dtc'S U0229 - U1530 Set In Bcm. Found Pip5883J, Verifi Ed Rpo Options. Tested Per Si - Was Inconclusive.Testedperwiring Sc Hematic - All Circuits Tested Ok. Looks Like Faulty Heated S-W Module. Ordered New Module 9-26-23.1-2, Replacedheated S-W Module.",Customer States The Lettering And Finish On The Steering Wheel Is Coming Off. Plant: Sil,11-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Global Crossover Vehicles,4 Door Utility,C1Yc,DEL,US,Royal Wheels Auto Sales,Saginaw,13 44196/300736,Titan Motors Group,Saginaw,MI,1,486031297,10,17774,0,0 0890,Lgmxt03.6151,US,13,FE9,FTB,130,Freg_Pol,395.44,395.44,108.055,LFY,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",M3V,"Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",K,,822972980,21210129Ikbp0429,2809298112,4,1,N,1Nx56,Premier,21,0,1
1HR49WEY2NF322460,13041.25,Checked And Verified Customer Concern And Found Trim Piece Loose Remov Ed Replaced Trim Piece On The Back Of The Passenger Side Ofsteering W Heel Complete,Customer States The Lettering And Finish On The Steering Wheel Is Coming Off. Plant: Sil,11-01-2024,Wheel Asm-Strg *Black,Steering Wheel Replacement,Full Size Trucks,Extended Cab,T1Cgh,FLT,US,Goldstar Autos,Edmonton,14 82489/320243,Bluesky Auto Sales,Edmonton,AB,1,T5E4C7,20,34161,0,0 0621,D06.6398,CA,14,FE9,FTB,130,Freg_Pol,554.0625,604.695,108.055,L5P,"Gas, 8 Cyl, 6.6L, Sidi, Vvt, Cast Iron",MGM,"Byt 9 Spd, 9T65, Gen 1",,R2222412Mu9X0781,8042172,Y0222190Mkfx0498,2809222282,2,1,N,Tf10743,,18,0,1
3HRFFCER3NH528824,13025,"Checked - Found Dtc'S U0229 - U1530 Set In Bcm. Found Pip5883J, Verifi Ed Rpo Options. Tested Per Si - Was Inconclusive.Testedperwiring Sc Hematic - All Circuits Tested Ok. Looks Like Faulty Heated S-W Module. Ordered New Module 9-26-23.1-2, Replacedheated S-W Module.",Customer States Heated Steering Wheel Inop,11-01-2024,Wheel Asm-Strg * Jet Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Cgf,SIL,MX,Infinite Motors,Henderson,11 11457/116555,Metromax Motors,Dallas,TX,1,752093016,22,34260,0,0 0890,T03.0351,US,48,FE9,FTB,130,Freg_Pol,621.34,621.34,107.28,LM2,"Gas, 8 Cyl, 6.6L, Sidi, Vvt, Cast Iron",MQC,"Byt 10 Spd, 10L80, Atss, Cpa, Gen 2",,V2220472Cvcx0021,287827,S1220791Cnjx0210,2809294191,4,1,N,Tf18543,,10,0,1
1HYKNDR46NZ151056,13025,Replaced Steering Wheel,Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool.,12-01-2024,Wheel Asm-Strg *Fawn,Steering Wheel Replacement,Crossover Suv,4 Door Utility,C1Ul,SHT,US,Platinum Auto Co.,Indiana,12 20573/117099,Crystal Drive Auto,Indiana,PA,1,157012061,21,24129,0,0 0313,T02.0500,US,12,NE1,FUG,50,Freg_Pol,386.62,386.62,108.055,LSY,"Gas, 8 Cyl, 6.6L, Sidi, Vvt, Cast Iron",M3G,"Byt 10 Spd, 10L80, Atss, Etrs, Cpa, Gen 2",,N2220942Juhx0982,822972980,21220170Vhbp0421,2820879995,6,1,N,6Nh26,Luxury,10,0,1
1HNEVNKW4SJ144359,13025,Steering Wheel Replacement,Customer States Heated Steering Wheel Inop,12-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Global Crossover Vehicles,4 Door Utility,C1Yc,DEL,US,Swiftcar Traders,Weatherford,13 07367/112288,Elitestreet Motors,Weatherford,TX,1,760878773,15,35914,0,0 0312,Lgmxt03.6151,US,13,FE9,FTB,130,Freg_Pol,436.5,436.5,56.87,LFY,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",M3V,"Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",K,,822972980,22222109Ikbp2899,2809184401,4,1,Y,1Nx56,High Country,10,0,1
3HRS9EED0LH255650,13025,"Checked - Found Dtc'S U0229 - U1530 Set In Bcm. Found Pip5883J, Verifi Ed Rpo Options. Tested Per Si - Was Inconclusive.Testedperwiring Sc Hematic - All Circuits Tested Ok. Looks Like Faulty Heated S-W Module. Ordered New Module 9-26-23.1-2, Replacedheated S-W Module.",Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool.,12-01-2024,Wheel Asm-Strg *Jet Black,Steering Wheel Replacement,Full Size Trucks,Extended Cab,T1Cgf,SIL,MX,Prestige Drive Motors,Valdosta,13 26192/159183,Libertyride Auto,Valdosta,GA,1,316026802,47,59192,0,0 0890,T05.3386,US,48,FE9,FTB,50,Freg,214.4,214.4,78,L84,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MQB,"Byt 10 Spd, 10R80, Atss, Etrs, Cpa, Gen 2",,A2200220Hgux2088,287827,S2200210Bkjx2982,2820879995,8,1,Y,Tf18543,,10,0,1
1HKS2JKR2NR336997,13073,Replaced Steering Wheel,Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool.,12-01-2024,Applique Asm-Strg Whl Tr Spoke Cvr *Vulcan,Heated Steering Wheel Module Replacement,Full Size Utility,4 Door Utility,T1Ygf,ARL,US,Prestige Drive Motors,Miami,13 26329/312777,Novacar Sales,Homestead,FL,1,330341829,18,32616,0,0 0890,T03.0351,US,48,FE9,FTB,130,Freg_Pol,454.63,454.63,73.62,LM2,"Gas, 8 Cyl, 6.6L, Sidi, Vvt, Cast Iron",MQC,"Byt 10 Spd, 10L80, Atss, Cpa, Gen 2",,V2222922Cvcx0009,287827,S1222471Cnjx0228,2821704292,8,1,N,6F10906,,10,0,1
